id,title,description,link,image_link,availability,price,condition,brand,identifier_exists,google_product_category
custom-race-suit,Custom Race Suit,"Fully bespoke: your panel layout, your colors, your leather grade. Built from your measurements, not a size chart.",https://starwoodracing.us/#product-custom-race-suit,https://starwoodracing.us/img/suits/custom-1.jpg,in stock,1000.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing > Outerwear
standard-race-suit,Replica Suit,Recreates a specific rider or team livery to your spec. Note the rider and details at checkout and we'll match it.,https://starwoodracing.us/#product-standard-race-suit,https://starwoodracing.us/img/suits/replica-1.jpg,in stock,850.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing > Outerwear
speed-suit,Speed Suit,"A step up in leather grade and protection, still pre-designed for a faster turnaround than a full custom build.",https://starwoodracing.us/#product-speed-suit,https://starwoodracing.us/img/suits/speed-suit-1.png,in stock,700.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing > Outerwear
the-visionary,The Visionary,"Pre-designed suit, ready to order without a full custom design process. Cowhide leather construction with CE-rated inner protection.",https://starwoodracing.us/#product-the-visionary,https://starwoodracing.us/img/suits/visionary-1.png,in stock,750.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing > Outerwear
swr-race-glove-single-cuff-strap,SWR Blade V1 Race Glove,"Starwood Racings single cuff gloves are designed for racing, offering a quick and easy securing mechanism, while still maintaining the highest level of safety! Made of high quality leather and TPU on the knuckles and fingers and padding on the palms. Pick your 3 main colors, most to least prominent, in the notes field at checkout — that's the fastest way to get it right. Email support@starwoodracing.us only as a backup if you run into an issue.",https://starwoodracing.us/#product-swr-race-glove-single-cuff-strap,https://starwoodracing.us/img/gloves/blade-v1-1.jpg,in stock,175.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing Accessories > Gloves & Mittens
swr-blade-v2-race-glove,SWR Blade V2 Race Glove,"Starwood Racings single cuff gloves are designed for racing, offering a quick and easy securing mechanism, while still maintaining the highest level of safety! Made of high quality leather and TPU on the knuckles and fingers and padding on the palms. Pick your 3 main colors, most to least prominent, in the notes field at checkout — that's the fastest way to get it right. Email support@starwoodracing.us only as a backup if you run into an issue.",https://starwoodracing.us/#product-swr-blade-v2-race-glove,https://starwoodracing.us/img/gloves/blade-v2-1.jpg,in stock,200.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing Accessories > Gloves & Mittens
swr-race-glove-double-cuff-strap,SWR Race Glove,"Starwood Racings double cuff gloves are designed for racing, offering a quick and easy securing mechanism, while still maintaining the highest level of safety! Made of high quality leather and TPU on the knuckles and fingers and padding on the palms. Pick your 3 main colors, most to least prominent, in the notes field at checkout — that's the fastest way to get it right. Email support@starwoodracing.us only as a backup if you run into an issue.",https://starwoodracing.us/#product-swr-race-glove-double-cuff-strap,https://starwoodracing.us/img/gloves/race-glove-2.jpg,in stock,160.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing Accessories > Gloves & Mittens
swr-street-glove,SWR Street Glove,"Starwood Racings street gloves are designed for your daily commutes, offering a quick and easy securing mechanism, while still maintaining the highest level of safety! Made of high quality leather and TPU on the knuckles and fingers and padding on the palms. Pick your 3 main colors, most to least prominent, in the notes field at checkout — that's the fastest way to get it right. Email support@starwoodracing.us only as a backup if you run into an issue.",https://starwoodracing.us/#product-swr-street-glove,https://starwoodracing.us/img/gloves/street-glove-1.jpeg,in stock,140.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing Accessories > Gloves & Mittens
supersonic-boots,Supersonic Boots,"Our New boots provide a lot of great features, including breathability, fitment, and style! They are breathable with perforated upper and side sections. The top of the boot allows for a much snugger fitment around your ankle keeping your entire lower leg solid in case of a crash. We also cannot forget about styling. Pick your 3 main colors, most to least prominent, in the notes field at checkout — that's the fastest way to get it right. Email support@starwoodracing.us only as a backup if you run into an issue.",https://starwoodracing.us/#product-supersonic-boots,https://starwoodracing.us/img/boots/supersonic-1.jpeg,in stock,480.00 USD,new,Starwood Racing,no,Apparel & Accessories > Shoes
race-boots,Warp Speed Boots,"CE Certified Race boots with an Axial Distortion Control bending system at the ankle for enhanced protection and maximum comfort. Lightweight with nylon heel inserts, thermoplastics sliders (metal optional), and breathable with perforated upper section for warm temperatures. Pick your 3 main colors, most to least prominent, in the notes field at checkout — that's the fastest way to get it right. Email support@starwoodracing.us only as a backup if you run into an issue.",https://starwoodracing.us/#product-race-boots,https://starwoodracing.us/img/boots/warp-speed-2.jpg,in stock,350.00 USD,new,Starwood Racing,no,Apparel & Accessories > Shoes
custom-leather-jacket,Custom Leather Jacket,Standalone custom leather jacket. Pair it with matching Custom Leather Pants for a full jacket-and-pants combo.,https://starwoodracing.us/#product-custom-leather-jacket,https://starwoodracing.us/img/jackets/yamaha-jacket-2.jpeg,in stock,350.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing > Outerwear
custom-leather-pants,Custom Leather Pants,Standalone custom leather pants — shown paired with the matching jacket. Order both for a full combo.,https://starwoodracing.us/#product-custom-leather-pants,https://starwoodracing.us/img/jackets/jacket-and-pants-3.jpeg,in stock,350.00 USD,new,Starwood Racing,no,Apparel & Accessories > Clothing > Outerwear
sliders,Sliders,"These are our proprietary blend of materials that not only look good, but have a much better durability than other manufactures! Great for Rain or Dry tracks and for the first time track day rider or Pro racer!",https://starwoodracing.us/#product-sliders,https://starwoodracing.us/img/sliders/black.png,in stock,25.00 USD,new,Starwood Racing,no,Vehicles & Parts > Vehicle Parts & Accessories
