id,title,description,availability,condition,price,link,image_link,brand,item_group_id,color,size,gender,age_group
custom-race-suit,Custom Race Suit,"Fully bespoke leather race suit built from your own measurements. Your panel layout, colors, and leather grade. Add-ons available: airbag, CE armor, liner.",in stock,new,1000.00 USD,https://starwoodracing.us/#product-custom-race-suit,https://starwoodracing.us/img/suits/custom-1.jpg,Starwood Racing,,Multi-color,One Size,unisex,adult
standard-race-suit,Replica Suit,"Recreates a specific rider or team livery to your spec. Note your rider/details at checkout. Add-ons available: airbag, CE armor, liner.",in stock,new,850.00 USD,https://starwoodracing.us/#product-standard-race-suit,https://starwoodracing.us/img/suits/replica-1.jpg,Starwood Racing,,Multi-color,Custom / See size chart,unisex,adult
speed-suit,Speed Suit,"Pre-designed leather race suit, upgraded leather grade and protection, faster turnaround than full custom. CE-rated armor pockets included.",in stock,new,700.00 USD,https://starwoodracing.us/#product-speed-suit,https://starwoodracing.us/img/suits/speed-suit-1.png,Starwood Racing,,Black/Red/White,Custom / See size chart,unisex,adult
the-visionary,The Visionary,"Pre-designed cowhide leather race suit, ready to order without a full custom design process. CE-rated inner protection included.",in stock,new,750.00 USD,https://starwoodracing.us/#product-the-visionary,https://starwoodracing.us/img/suits/visionary-1.png,Starwood Racing,,Black/Red/White,Custom / See size chart,unisex,adult
swr-race-glove-single-cuff-strap,SWR Blade V1 Race Glove,"Single cuff race glove (Blade V1), leather with TPU knuckle/finger protection and palm padding. Quick-secure closure.",in stock,new,175.00 USD,https://starwoodracing.us/#product-swr-race-glove-single-cuff-strap,https://starwoodracing.us/img/gloves/blade-v1-1.jpg,Starwood Racing,,Blue/Red,Custom / See size chart,unisex,adult
swr-blade-v2-race-glove,SWR Blade V2 Race Glove,"Blade V2 race glove, leather with TPU knuckle/finger protection and palm padding. Quick-secure closure.",in stock,new,200.00 USD,https://starwoodracing.us/#product-swr-blade-v2-race-glove,https://starwoodracing.us/img/gloves/blade-v2-1.jpg,Starwood Racing,,Pink/Yellow,Custom / See size chart,unisex,adult
swr-race-glove-double-cuff-strap,SWR Race Glove,"Double cuff race glove, leather with TPU knuckle/finger protection and palm padding. Built for track use.",in stock,new,160.00 USD,https://starwoodracing.us/#product-swr-race-glove-double-cuff-strap,https://starwoodracing.us/img/gloves/race-glove-2.jpg,Starwood Racing,,Black/Blue/Yellow,Custom / See size chart,unisex,adult
swr-street-glove,SWR Street Glove,"Leather street glove with TPU knuckle/finger protection and palm padding. Quick, easy securing mechanism.",in stock,new,140.00 USD,https://starwoodracing.us/#product-swr-street-glove,https://starwoodracing.us/img/gloves/street-glove-1.jpeg,Starwood Racing,,Black,Custom / See size chart,unisex,adult
supersonic-boots,Supersonic Boots,Breathable race boot with perforated upper/side panels and a snug ankle fit for added crash protection.,in stock,new,480.00 USD,https://starwoodracing.us/#product-supersonic-boots,https://starwoodracing.us/img/boots/supersonic-1.jpeg,Starwood Racing,,Pink/Yellow,Custom / See size chart,unisex,adult
race-boots,Warp Speed Boots,"CE certified race boot with Axial Distortion Control ankle system, nylon heel inserts, and perforated upper.",in stock,new,350.00 USD,https://starwoodracing.us/#product-race-boots,https://starwoodracing.us/img/boots/warp-speed-2.jpg,Starwood Racing,,Black/Yellow/Pink,Custom / See size chart,unisex,adult
custom-leather-jacket,Custom Leather Jacket,"Standalone custom leather jacket, made to measure. Pairs with matching Custom Leather Pants for a full combo look.",in stock,new,350.00 USD,https://starwoodracing.us/#product-custom-leather-jacket,https://starwoodracing.us/img/jackets/yamaha-jacket-2.jpeg,Starwood Racing,,Black,Custom / See size chart,unisex,adult
custom-leather-pants,Custom Leather Pants,"Standalone custom leather pants, made to measure. Pairs with matching Custom Leather Jacket for a full combo look.",in stock,new,350.00 USD,https://starwoodracing.us/#product-custom-leather-pants,https://starwoodracing.us/img/jackets/jacket-and-pants-3.jpeg,Starwood Racing,,Black,Custom / See size chart,unisex,adult
sliders-black,Sliders (Black),Durable proprietary-blend knee sliders for wet or dry track use. Built for first-time track day riders and pros alike.,in stock,new,25.00 USD,https://starwoodracing.us/#product-sliders,https://starwoodracing.us/img/sliders/black.png,Starwood Racing,sliders,Black,One Size,unisex,adult
sliders-blue,Sliders (Blue),Durable proprietary-blend knee sliders for wet or dry track use. Built for first-time track day riders and pros alike.,in stock,new,25.00 USD,https://starwoodracing.us/#product-sliders,https://starwoodracing.us/img/sliders/blue.png,Starwood Racing,sliders,Blue,One Size,unisex,adult
sliders-pink,Sliders (Pink),Durable proprietary-blend knee sliders for wet or dry track use. Built for first-time track day riders and pros alike.,in stock,new,25.00 USD,https://starwoodracing.us/#product-sliders,https://starwoodracing.us/img/sliders/pink.png,Starwood Racing,sliders,Pink,One Size,unisex,adult
sliders-red,Sliders (Red),Durable proprietary-blend knee sliders for wet or dry track use. Built for first-time track day riders and pros alike.,in stock,new,25.00 USD,https://starwoodracing.us/#product-sliders,https://starwoodracing.us/img/sliders/red.png,Starwood Racing,sliders,Red,One Size,unisex,adult
sliders-white,Sliders (White),Durable proprietary-blend knee sliders for wet or dry track use. Built for first-time track day riders and pros alike.,in stock,new,25.00 USD,https://starwoodracing.us/#product-sliders,https://starwoodracing.us/img/sliders/white.png,Starwood Racing,sliders,White,One Size,unisex,adult
sliders-yellow,Sliders (Yellow),Durable proprietary-blend knee sliders for wet or dry track use. Built for first-time track day riders and pros alike.,in stock,new,25.00 USD,https://starwoodracing.us/#product-sliders,https://starwoodracing.us/img/sliders/yellow.png,Starwood Racing,sliders,Yellow,One Size,unisex,adult
